Key,en,es,ar,fr
CoinGate Screen,CoinGate Screen,Pantalla CoinGate,شاشة كوين جيت,Écran CoinGate
Manual screen,Manual screen,Pantalla manual,شاشة يدوية,Écran manuel
Please! Follow the Limit.,Please! Follow the Limit.,¡Por favor! Sigue el límite.,لو سمحت! اتبع الحد.,S'il te plaît! Suivez la limite.
Evidence Note,Evidence Note,Nota de evidencia,مذكرة الأدلة,Note sur les preuves
Image path is required,Image path is required,Se requiere la ruta de la imagen,مسار الصورة مطلوب,Le chemin de l'image est requis
No wallet,No wallet,Sin billetera,لا محفظة,Pas de portefeuille
Alert,Alert,Alerta,يُحذًِر,Alerte
Success,Success,Éxito,نجاح,Succès
Dismiss,Dismiss,Despedir,رفض,Rejeter
Welcome To,Welcome To,Bienvenido a,مرحبا بكم في,Bienvenue à
Admin Panel,Admin Panel,Panel de administración,لوحة الإدارة,Panneau d'administration
Setup Currency,Setup Currency,Configuración de moneda,عملة الإعداد,Devise de configuration
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف,Frais et charges
Subscribers,Subscribers,Suscriptores,المشتركين,Abonnés
Contact Messages,Contact Messages,Mensajes de contacto,رسائل الاتصال,Messages de contact
Investment Plan,Investment Plan,Plan de Inversión,خطة الاستثمار,Plan d'investissement
Add Money Logs,Add Money Logs,Agregar registros de dinero,إضافة سجلات الأموال,Ajouter des journaux d'argent
Pending Logs,Pending Logs,Registros pendientes,السجلات المعلقة,Journaux en attente
Completed Logs,Completed Logs,Registros completados,السجلات المكتملة,Journaux terminés
Canceled Logs,Canceled Logs,Registros cancelados,السجلات الملغاة,Journaux annulés
All Logs,All Logs,Todos los registros,جميع السجلات,Tous les journaux
Money Out Logs,Money Out Logs,Registros de salida de dinero,سجلات خروج الأموال,Journaux de sorties d'argent
Money Transfer Logs,Money Transfer Logs,Registros de transferencia de dinero,سجلات تحويل الأموال,Journaux de transfert d'argent
Invest Profit Logs,Invest Profit Logs,Registros de ganancias de inversión,سجلات أرباح الاستثمار,Investir les journaux de bénéfices
User Care,User Care,Atención al usuario,رعاية المستخدم,Entretien utilisateur
Active Users,Active Users,Usuarios activos,المستخدمون النشطون,Utilisateurs actifs
Email Unverified,Email Unverified,Correo electrónico no verificado,لم يتم التحقق من البريد الإلكتروني,E-mail non vérifié
KYC Unverified,KYC Unverified,KYC no verificado,لم يتم التحقق من KYC,KYC non vérifié
All Users,All Users,Todos los usuarios,كافة المستخدمين,Tous les utilisateurs
Email To Users,Email To Users,Enviar correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين,Envoyer un e-mail aux utilisateurs
Banned Users,Banned Users,Usuarios prohibidos,المستخدمون المحظورون,Utilisateurs bannis
Admin Care,Admin Care,Atención administrativa,رعاية المشرف,Soins administratifs
All Admin,All Admin,Todos los administradores,كل المشرف,Tous les administrateurs
Admin Role,Admin Role,Rol de administrador,دور المشرف,Rôle d'administrateur
Role Permission,Role Permission,Permiso de rol,إذن الدور,Autorisation de rôle
Email To Admin,Email To Admin,Enviar correo electrónico al administrador,البريد الإلكتروني إلى المشرف,Envoyer un e-mail à l'administrateur
Web Settings,Web Settings,Configuración web,إعدادات الويب,Paramètres Web
Basic Settings,Basic Settings,Configuraciones básicas,الإعدادات الأساسية,Paramètres de base
Setup SEO,Setup SEO,Configurar SEO,إعداد كبار المسئولين الاقتصاديين,Configurer le référencement
App Settings,App Settings,Configuración de la aplicación,إعدادات التطبيق,Paramètres de l'application
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية,Écran de démarrage
Default,Default,Por defecto,تقصير,Défaut
Interface Panel,Interface Panel,Panel de interfaz,لوحة الواجهة,Panneau d'interface
Onboard Screen,Onboard Screen,Pantalla integrada,شاشة على متن الطائرة,Écran embarqué
App URLs,App URLs,URL de aplicaciones,عناوين URL للتطبيقات,URL des applications
Languages,Languages,Idiomas,اللغات,Langues
Money Out Settings,Money Out Settings,Configuración de retiro de dinero,إعدادات إخراج الأموال,Paramètres de retrait d'argent
Verification Center,Verification Center,Centro de verificación,مركز التحقق,Centre de vérification
Setup Email,Setup Email,Configurar correo electrónico,إعداد البريد الإلكتروني,E-mail de configuration
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني,Méthode de courrier électronique
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC,Configurer KYC
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب,Configurer le contenu Web
Setup Section,Setup Section,Sección de configuración,قسم الإعداد,Section de configuration
Banner Section,Banner Section,Sección de pancartas,قسم البانر,Section bannière
Brand Section,Brand Section,Sección de Marca,قسم العلامات التجارية,Section Marque
About Us Section,About Us Section,Sección Acerca de nosotros,قسم عنا,Section À propos de nous
Services Section,Services Section,Sección de Servicios,قسم الخدمات,Section des services
Feature Section,Feature Section,Sección de funciones,قسم الميزات,Section des fonctionnalités
Clients Feedback,Clients Feedback,Comentarios de los clientes,ملاحظات العملاء,Commentaires des clients
Announcements,Announcements,Anuncios,إعلانات,Annonces
How It Work Section,How It Work Section,Sección Cómo funciona,قسم كيفية العمل,Section Comment ça marche
About Page Section,About Page Section,Acerca de la sección de la página,حول قسم الصفحة,Section de la page À propos
Contact US Section,Contact US Section,Contáctenos Sección EE.UU.,اتصل بقسم الولايات المتحدة,Section Contactez-nous
Footer Section,Footer Section,Sección de pie de página,قسم التذييل,Section de pied de page
Setup Pages,Setup Pages,Páginas de configuración,صفحات الإعداد,Pages de configuration
Extensions,Extensions,Extensiones,ملحقات,Rallonges
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة,Liens utiles
Payment Methods,Payment Methods,Métodos de pago,طرق الدفع,Méthodes de paiement
Automatic,Automatic,Automático,تلقائي,Automatique
Manual,Manual,Manual,يدوي,Manuel
Money Out,Money Out,Salida de dinero,المال خارج,Argent sorti
Notification,Notification,Notificación,إشعار,Notification
Push Notification,Push Notification,Notificación push,دفع الإخطار,Notification poussée
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد,Notification de configuration
Send Notification,Send Notification,Enviar notificación,إرسال الإخطار,Envoyer une notification
Bonus,Bonus,Prima,علاوة,Prime
GDPR Cookie,GDPR Cookie,Cookie RGPD,ملف تعريف الارتباط الناتج عن اللائحة العامة لحماية البيانات,Cookie RGPD
Server Info,Server Info,Información del servidor,معلومات الخادم,Informations sur le serveur
Clear Cache,Clear Cache,Borrar caché,مسح ذاكرة التخزين المؤقت,Vider le cache
Total Add Money Request,Total Add Money Request,Solicitud de agregar dinero total,إجمالي طلب إضافة الأموال,Demande d'ajout d'argent total
Add Money Balance,Add Money Balance,Agregar saldo de dinero,إضافة رصيد المال,Ajouter un solde d'argent
Money Out Request,Money Out Request,Solicitud de retiro de dinero,طلب صرف الأموال,Demande de retrait d'argent
Money Out Balance,Money Out Balance,Saldo de salida de dinero,رصيد الأموال الخارجة,Solde d'argent
User Active Tickets,User Active Tickets,Entradas activas de usuario,تذاكر المستخدم النشطة,Tickets actifs pour les utilisateurs
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين,Nombre total d'utilisateurs
Total User Invest,Total User Invest,Inversión total del usuario,إجمالي استثمار المستخدم,Investissement total des utilisateurs
Users Total Profit,Users Total Profit,Beneficio total de los usuarios,إجمالي الربح للمستخدمين,Bénéfice total des utilisateurs
Monthly Add Money Chart,Monthly Add Money Chart,Gráfico mensual para agregar dinero,مخطط إضافة الأموال شهريًا,Tableau d'ajout d'argent mensuel
Revenue Chart,Revenue Chart,Gráfico de ingresos,مخطط الإيرادات,Tableau des revenus
Yearly Investment Analytics,Yearly Investment Analytics,Análisis de inversión anual,تحليلات الاستثمار السنوية,Analyse annuelle des investissements
User Analytics,User Analytics,Análisis de usuario,تحليلات المستخدم,Analyse des utilisateurs
Growth,Growth,Crecimiento,نمو,Croissance
Latest Add Money,Latest Add Money,Última adición de dinero,أحدث إضافة المال,Dernier ajout d'argent
Download App,Download App,Descargar aplicación,تحميل التطبيق,Télécharger l'application
Login,Login,Acceso,تسجيل الدخول,Se connecter
Contact,Contact,Contacto,اتصال,Contact
Announcement,Announcement,Anuncio,إعلان,Annonce
Plan,Plan,Plan,يخطط,Plan
About,About,Acerca de,عن,À propos
Stay connected with us for regular updates,Stay connected with us for regular updates,Manténgase conectado con nosotros para recibir actualizaciones periódicas,ابق على اتصال معنا للحصول على تحديثات منتظمة,Restez connecté avec nous pour des mises à jour régulières
Contact Us,Contact Us,Contáctenos,اتصل بنا,Contactez-nous
Layout Mode,Layout Mode,Modo de diseño,وضع التخطيط,Mode Mise en page
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي,Couleur de la barre supérieure
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم,Mode sombre
Light Mode,Light Mode,Modo de luz,وضع الضوء,Mode lumière
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي,Couleur de la barre latérale
Min Sidebar Color,Min Sidebar Color,Color mínimo de la barra lateral,الحد الأدنى للون الشريط الجانبي,Couleur minimale de la barre latérale
Direction,Direction,Dirección,اتجاه,Direction
RTL Support,RTL Support,Soporte RTL,دعم RTL,Prise en charge RTL
Total Refers,Total Refers,Total de referencias,إجمالي المراجع,Total de références
Total Invested,Total Invested,Total invertido,إجمالي الاستثمار,Total investi
Current Position,Current Position,Posición actual,المنصب الحالي,Poste actuel
Refer Code,Refer Code,Código de referencia,رمز الرجوع,Code de référence
Refer Link,Refer Link,Enlace de referencia,الرجوع الرابط,Lien de référence
Referral User,Referral User,Usuario de referencia,مستخدم الإحالة,Utilisateur référent
Requirement,Requirement,Requisito,متطلبات,Exigence
Refer,Refer,Referirse,يشير إلى,Référer
Invest,Invest,Invertir,يستثمر,Investir
Commission,Commission,Comisión,عمولة,Commission
Per Refer,Per Refer,Por referencia,لكل مرجع,Par référence
Account Label,Account Label,Etiqueta de cuenta,تسمية الحساب,Libellé du compte
My Status,My Status,Mi estado,حالتي,Mon statut
View All,View All,Ver todo,عرض الكل,Tout afficher
Refer Friend,Refer Friend,Recomendar amigo,إحالة صديق,Parrainer un ami
Refer Friends,Refer Friends,Recomendar amigos,إحالة الأصدقاء,Parrainer des amis
Copy Referral Code,Copy Referral Code,Copiar código de referencia,انسخ رمز الإحالة,Copier le code de référence
Text Copied To Clipboard,Text Copied To Clipboard,Texto copiado al portapapeles,تم نسخ النص إلى الحافظة,Texte copié dans le presse-papiers
Optionals,Optionals,Opcionales,اختيارية,Options
Balance Type,Balance Type,Tipo de saldo,نوع الرصيد,Type de solde
Something went wrong! Please try again,Something went wrong! Please try again,¡Algo salió mal! Por favor inténtalo de nuevo,حدث خطأ ما! يرجى المحاولة مرة أخرى,Quelque chose s'est mal passé ! Veuillez réessayer
Security Setting Updated Successfully!,Security Setting Updated Successfully!,¡Configuración de seguridad actualizada exitosamente!,تم تحديث إعداد الأمان بنجاح!,Paramètre de sécurité mis à jour avec succès !
Please verify 2FA,Please verify 2FA,Por favor verifique 2FA,يرجى التحقق من المصادقة الثنائية (2FA).,Veuillez vérifier 2FA
Authorize Google Two Factor,Authorize Google Two Factor,Autorizar Google Two Factor,تفويض جوجل اثنين عامل,Autoriser Google Two Factor
2FA Authenticaiton,2FA Authenticaiton,Autenticación 2FA,مصادقة 2FA,Authentification 2FA
Transactions & Logs,Transactions & Logs,Transacciones y registros,المعاملات والسجلات,Transactions et journaux
Image Assets,Image Assets,Recursos de imagen,أصول الصورة,Actifs d’image
Reset,Reset,Reiniciar,إعادة ضبط,Réinitialiser
Enter your account email address or username,Enter your account email address or username,Ingrese la dirección de correo electrónico o el nombre de usuario de su cuenta,أدخل عنوان البريد الإلكتروني لحسابك أو اسم المستخدم,Entrez l'adresse e-mail ou le nom d'utilisateur de votre compte
Username OR Email Address,Username OR Email Address,Nombre de usuario O dirección de correo electrónico,اسم المستخدم أو عنوان البريد الإلكتروني,Nom d'utilisateur OU adresse e-mail
Enter Username,Enter Username,Ingrese el nombre de usuario,أدخل اسم المستخدم,Entrez le nom d'utilisateur
Password Reset Link sended to your email address.,Password Reset Link sended to your email address.,Enlace de restablecimiento de contraseña enviado a su dirección de correo electrónico.,تم إرسال رابط إعادة تعيين كلمة المرور إلى عنوان بريدك الإلكتروني.,Lien de réinitialisation du mot de passe envoyé à votre adresse e-mail.
Successfully updated password. Please login,Successfully updated password. Please login,Contraseña actualizada correctamente. Por favor inicia sesión,تم تحديث كلمة المرور بنجاح. الرجاء تسجيل الدخول,Mot de passe mis à jour avec succès. Veuillez vous connecter
Email send successfully!,Email send successfully!,¡Envío de correo electrónico exitoso!,إرسال البريد الإلكتروني بنجاح!,E-mail envoyé avec succès !
error,error,error,خطأ,erreur
Can,Can,Poder,يستطيع,Peut
) . AdminRoleConst::SUPER_ADMIN . __(,) . AdminRoleConst::SUPER_ADMIN . __(,). AdminRoleConst::SUPER_ADMIN . __(,) . AdminRoleConst::SUPER_ADMIN . __(,) . AdminRoleConst::SUPER_ADMIN . __(
Oops! Failed to upload image.,Oops! Failed to upload image.,¡Ups! No se pudo cargar la imagen.,أُووبس! فشل تحميل الصورة.,Oups ! Échec du téléchargement de l'image.
Something went wrong! Please try again.,Something went wrong! Please try again.,¡Algo salió mal! Por favor inténtalo de nuevo.,حدث خطأ ما! يرجى المحاولة مرة أخرى.,Quelque chose s'est mal passé ! Veuillez réessayer.
Role assign failed!,Role assign failed!,¡Error en la asignación de roles!,فشل تعيين الدور!,Échec de l'attribution du rôle !
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado exitosamente!,تم إنشاء المشرف الجديد بنجاح!,Nouvel administrateur créé avec succès !
warning,warning,advertencia,تحذير,avertissement
Oops! Target admin not found!,Oops! Target admin not found!,¡Ups! ¡Administrador objetivo no encontrado!,أُووبس! لم يتم العثور على المشرف المستهدف!,Oups ! Administrateur cible introuvable !
Failed to assign role.,Failed to assign role.,No se pudo asignar el rol.,فشل في تعيين الدور.,Échec de l'attribution du rôle.
Admin information updated successfully!,Admin information updated successfully!,¡La información del administrador se actualizó exitosamente!,تم تحديث معلومات المشرف بنجاح!,Les informations d'administration ont été mises à jour avec succès !
Admin not found!,Admin not found!,Administrador no encontrado!,لم يتم العثور على المشرف!,Administrateur introuvable !
Something went wrong!. Please try again.,Something went wrong!. Please try again.,¡Algo salió mal!. Por favor inténtalo de nuevo.,حدث خطأ ما!. يرجى المحاولة مرة أخرى.,Quelque chose s'est mal passé !. Veuillez réessayer.
Admin status updated successfully!,Admin status updated successfully!,¡El estado del administrador se actualizó exitosamente!,تم تحديث حالة المشرف بنجاح!,Le statut d'administrateur a été mis à jour avec succès !
Admin role created successfully!,Admin role created successfully!,¡El rol de administrador se creó exitosamente!,تم إنشاء دور المشرف بنجاح!,Rôle d'administrateur créé avec succès !
Oops! Target not found!,Oops! Target not found!,¡Ups! ¡Objetivo no encontrado!,أُووبس! لم يتم العثور على الهدف!,Oups ! Cible introuvable !
Admin role deleted successfully!,Admin role deleted successfully!,¡El rol de administrador se eliminó correctamente!,تم حذف دور المشرف بنجاح!,Rôle d'administrateur supprimé avec succès !
Permission created successfully!,Permission created successfully!,¡Permiso creado exitosamente!,تم إنشاء الإذن بنجاح!,Autorisation créée avec succès !
Target not found!,Target not found!,¡Objetivo no encontrado!,لم يتم العثور على الهدف!,Cible introuvable !
Permission not found!,Permission not found!,¡Permiso no encontrado!,لم يتم العثور على إذن!,Autorisation introuvable !
Permission updated successfully!,Permission updated successfully!,¡Permiso actualizado exitosamente!,تم تحديث الإذن بنجاح!,Autorisation mise à jour avec succès !
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado exitosamente!,تم حذف الإذن بنجاح!,Autorisation supprimée avec succès !
Role permission not found!,Role permission not found!,¡Permiso de rol no encontrado!,لم يتم العثور على إذن الدور!,Autorisation de rôle introuvable !
Permission assign successfully!,Permission assign successfully!,¡El permiso se asignó correctamente!,تم تعيين الإذن بنجاح!,Attribution d'autorisation réussie !
Admin deleted successfully!,Admin deleted successfully!,¡El administrador se eliminó exitosamente!,تم حذف المشرف بنجاح!,Administrateur supprimé avec succès !
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,¡Pantalla integrada agregada con éxito!,تمت إضافة الشاشة على متن الطائرة بنجاح!,Écran intégré ajouté avec succès !
Onboard screen not found!,Onboard screen not found!,¡No se encontró la pantalla integrada!,لم يتم العثور على الشاشة على متن الطائرة!,Écran embarqué introuvable !
Onboard screen status updated successfully!.,Onboard screen status updated successfully!.,¡El estado de la pantalla integrada se actualizó exitosamente!.,تم تحديث حالة الشاشة على متن الطائرة بنجاح!.,L'état de l'écran intégré a été mis à jour avec succès !.
Onboard screen information updated successfully!,Onboard screen information updated successfully!,¡La información de la pantalla a bordo se actualizó exitosamente!,تم تحديث معلومات الشاشة الموجودة على اللوحة بنجاح!,Les informations sur l'écran intégré ont été mises à jour avec succès !
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada exitosamente!,تم حذف الشاشة بنجاح!,Écran supprimé avec succès !
Splash screen updated successfully!,Splash screen updated successfully!,¡La pantalla de bienvenida se actualizó correctamente!,تم تحديث شاشة البداية بنجاح!,Écran de démarrage mis à jour avec succès !
URL settings updated successfully!,URL settings updated successfully!,¡La configuración de URL se actualizó correctamente!,تم تحديث إعدادات URL بنجاح!,Paramètres d'URL mis à jour avec succès !
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,¡La configuración de transmisión se actualizó exitosamente!,تم تحديث تكوين البث بنجاح!,Configuration de diffusion mise à jour avec succès !
Reply sended successfully!,Reply sended successfully!,¡Respuesta enviada exitosamente!,تم إرسال الرد بنجاح!,Réponse envoyée avec succès !
Cookie information updated successfully!,Cookie information updated successfully!,¡La información de las cookies se actualizó correctamente!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!,Les informations sur les cookies ont été mises à jour avec succès !
Wallet generated successfully!,Wallet generated successfully!,¡Monedero generado exitosamente!,تم إنشاء المحفظة بنجاح!,Portefeuille généré avec succès !
Balance Updated Successfully!,Balance Updated Successfully!,¡Saldo actualizado exitosamente!,تم تحديث الرصيد بنجاح!,Solde mis à jour avec succès !
Wallet Added Successfully!,Wallet Added Successfully!,¡Billetera agregada exitosamente!,تمت إضافة المحفظة بنجاح!,Portefeuille ajouté avec succès !
Wallet Address Deleted Successfully!,Wallet Address Deleted Successfully!,¡Dirección de billetera eliminada exitosamente!,تم حذف عنوان المحفظة بنجاح!,Adresse du portefeuille supprimée avec succès !
Wallet Information not found!,Wallet Information not found!,¡No se encontró información de billetera!,لم يتم العثور على معلومات المحفظة!,Informations sur le portefeuille introuvables !
Wallet Status Changed Successfully!,Wallet Status Changed Successfully!,¡El estado de la billetera cambió exitosamente!,تم تغيير حالة المحفظة بنجاح!,Le statut du portefeuille a été modifié avec succès !
Crypto Asset Not Found!,Crypto Asset Not Found!,¡Criptoactivo no encontrado!,لم يتم العثور على الأصول المشفرة!,Actif cryptographique introuvable !
Crypto Address Not Found!,Crypto Address Not Found!,¡Dirección criptográfica no encontrada!,لم يتم العثور على عنوان التشفير!,Adresse cryptographique introuvable !
Default currency make failed! Please try again.,Default currency make failed! Please try again.,¡Falló la creación de moneda predeterminada! Por favor inténtalo de nuevo.,العملة الافتراضية فشلت! يرجى المحاولة مرة أخرى.,Échec de la création de la devise par défaut ! Veuillez réessayer.
Currency Saved Successfully!,Currency Saved Successfully!,¡Moneda guardada con éxito!,تم حفظ العملة بنجاح!,Devise enregistrée avec succès !
Currency record not found in our system.,Currency record not found in our system.,Registro de moneda no encontrado en nuestro sistema.,سجل العملة غير موجود في نظامنا.,Enregistrement de devise introuvable dans notre système.
Currency status updated successfully!,Currency status updated successfully!,¡El estado de la moneda se actualizó exitosamente!,تم تحديث حالة العملة بنجاح!,Statut de la devise mis à jour avec succès !
Currency not found!,Currency not found!,¡Moneda no encontrada!,لم يتم العثور على العملة!,Devise introuvable !
Image file upload failed!,Image file upload failed!,¡Error al cargar el archivo de imagen!,فشل تحميل ملف الصورة!,Le téléchargement du fichier image a échoué !
Successfully updated the information.,Successfully updated the information.,Se actualizó exitosamente la información.,تم تحديث المعلومات بنجاح.,Les informations ont été mises à jour avec succès.
Currency deleted successfully!,Currency deleted successfully!,¡Moneda eliminada exitosamente!,تم حذف العملة بنجاح!,Devise supprimée avec succès !
Notifications clear successfully!,Notifications clear successfully!,¡Las notificaciones se borran correctamente!,تم مسح الإخطارات بنجاح!,Les notifications sont effacées avec succès !
Extension has been updated successfully,Extension has been updated successfully,La extensión se ha actualizado correctamente.,تم تحديث الامتداد بنجاح,L'extension a été mise à jour avec succès
Extension is not found!.,Extension is not found!.,¡No se encuentra la extensión!.,لم يتم العثور على التمديد!.,L'extension n'est pas trouvée !.
Extension status is updated successfully!,Extension status is updated successfully!,¡El estado de la extensión se actualizó correctamente!,تم تحديث حالة الامتداد بنجاح!,Le statut de l'extension a été mis à jour avec succès !
Language (,Language (,Idioma (,لغة (,Langue (
) is not removable.,) is not removable.,) no es extraíble.,) غير قابل للإزالة.,) n'est pas amovible.
File remove failed!,File remove failed!,¡Error al eliminar el archivo!,فشل إزالة الملف!,La suppression du fichier a échoué !
Language deleted successfully!,Language deleted successfully!,¡Idioma eliminado exitosamente!,تم حذف اللغة بنجاح!,Langue supprimée avec succès !
Please deselect your default language first.,Please deselect your default language first.,Primero deseleccione su idioma predeterminado.,الرجاء إلغاء تحديد لغتك الافتراضية أولاً.,Veuillez d'abord désélectionner votre langue par défaut.
Language status updated successfully!,Language status updated successfully!,¡El estado del idioma se actualizó exitosamente!,تم تحديث حالة اللغة بنجاح!,Statut de langue mis à jour avec succès !
Sorry! Language not found!,Sorry! Language not found!,¡Lo siento! ¡Idioma no encontrado!,آسف! لم يتم العثور على اللغة!,Désolé! Langue introuvable !
Failed to store new file.,Failed to store new file.,No se pudo almacenar el nuevo archivo.,فشل في تخزين الملف الجديد.,Échec du stockage du nouveau fichier.
Language updated successfully!,Language updated successfully!,¡Idioma actualizado exitosamente!,تم تحديث اللغة بنجاح!,Langue mise à jour avec succès !
Oops! Language not found!,Oops! Language not found!,¡Ups! ¡Idioma no encontrado!,أُووبس! لم يتم العثور على اللغة!,Oups ! Langue introuvable !
Language switch successfully!,Language switch successfully!,¡Cambio de idioma exitoso!,تبديل اللغة بنجاح!,Changement de langue réussi !
File does not exists.,File does not exists.,El archivo no existe.,الملف غير موجود.,Le fichier n'existe pas.
Payment gateway currency not found!,Payment gateway currency not found!,¡No se encontró la moneda de la pasarela de pago!,لم يتم العثور على عملة بوابة الدفع!,Devise de la passerelle de paiement introuvable !
Payment gateway currency deleted successfully!,Payment gateway currency deleted successfully!,¡La moneda de la pasarela de pago se eliminó correctamente!,تم حذف عملة بوابة الدفع بنجاح!,La devise de la passerelle de paiement a été supprimée avec succès !
Payment gateway added successfully!,Payment gateway added successfully!,¡Pasarela de pago agregada exitosamente!,تمت إضافة بوابة الدفع بنجاح!,Passerelle de paiement ajoutée avec succès !
Payment gateway not found!.,Payment gateway not found!.,¡Pasarela de pago no encontrada!.,بوابة الدفع غير موجودة!.,Passerelle de paiement introuvable !.
Payment gateway status updated successfully!,Payment gateway status updated successfully!,¡El estado de la pasarela de pago se actualizó correctamente!,تم تحديث حالة بوابة الدفع بنجاح!,Statut de la passerelle de paiement mis à jour avec succès !
Information updated successfully!,Information updated successfully!,¡Información actualizada exitosamente!,تم تحديث المعلومات بنجاح!,Informations mises à jour avec succès !
Image upload failed! Please try again.,Image upload failed! Please try again.,¡La carga de la imagen falló! Por favor inténtalo de nuevo.,فشل تحميل الصورة! يرجى المحاولة مرة أخرى.,Le téléchargement de l'image a échoué ! Veuillez réessayer.
add-money,add-money,agregar dinero,إضافة المال,ajouter de l'argent
Oops! Payment gateway not found!,Oops! Payment gateway not found!,¡Ups! ¡Pasarela de pago no encontrada!,أُووبس! بوابة الدفع غير موجودة!,Oups ! Passerelle de paiement introuvable !
money-out,money-out,retiro de dinero,صرف الأموال,retrait d'argent
Payment gateway updated successfully!,Payment gateway updated successfully!,¡Pasarela de pago actualizada con éxito!,تم تحديث بوابة الدفع بنجاح!,Passerelle de paiement mise à jour avec succès !
Payment gateway deleted successfully!,Payment gateway deleted successfully!,¡Pasarela de pago eliminada con éxito!,تم حذف بوابة الدفع بنجاح!,Passerelle de paiement supprimée avec succès !
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,تم تحديث معلومات الملف الشخصي بنجاح!,Les informations de profil ont été mises à jour avec succès !
Oops! Basic settings not found!,Oops! Basic settings not found!,¡Ups! ¡No se encontraron configuraciones básicas!,أُووبس! لم يتم العثور على الإعدادات الأساسية!,Oups ! Paramètres de base introuvables !
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,¡Lo siento! Primero debe configurar para enviar notificaciones automáticas.,آسف! يجب عليك التهيئة أولاً لإرسال إشعار الدفع.,Désolé! Vous devez d'abord configurer pour envoyer une notification push.
Please configure your push notification with valid credentials.,Please configure your push notification with valid credentials.,Configure su notificación push con credenciales válidas.,يرجى تكوين إشعار الدفع الخاص بك ببيانات اعتماد صالحة.,Veuillez configurer votre notification push avec des informations d'identification valides.
Oops! Failed to store information.,Oops! Failed to store information.,¡Ups! No se pudo almacenar la información.,أُووبس! فشل في تخزين المعلومات.,Oups ! Échec du stockage des informations.
Notification sended successfully!,Notification sended successfully!,¡Notificación enviada exitosamente!,تم إرسال الإخطار بنجاح!,Notification envoyée avec succès !
Oops! Basic setting not found!,Oops! Basic setting not found!,¡Ups! ¡Configuración básica no encontrada!,أُووبس! لم يتم العثور على الإعداد الأساسي!,Oups ! Paramètre de base introuvable !
Push notification configuration updated successfully!,Push notification configuration updated successfully!,¡La configuración de notificaciones push se actualizó correctamente!,تم تحديث تكوين إشعار الدفع بنجاح!,Configuration des notifications push mise à jour avec succès !
Basic settings not found!,Basic settings not found!,¡No se encontraron configuraciones básicas!,لم يتم العثور على الإعدادات الأساسية!,Paramètres de base introuvables !
Invalid KYC or KYC not found!,Invalid KYC or KYC not found!,¡KYC no válido o KYC no encontrado!,لم يتم العثور على KYC غير صالح أو KYC!,KYC invalide ou KYC introuvable !
KYC status updated successfully!,KYC status updated successfully!,¡El estado KYC se actualizó exitosamente!,تم تحديث حالة KYC بنجاح!,Statut KYC mis à jour avec succès !
Page not found!,Page not found!,¡Página no encontrada!,لم يتم العثور على الصفحة!,Page introuvable !
Setup Page status updated successfully!,Setup Page status updated successfully!,¡El estado de la página de configuración se actualizó exitosamente!,تم تحديث حالة صفحة الإعداد بنجاح!,L'état de la page de configuration a été mis à jour avec succès !
Section updated successfully!,Section updated successfully!,¡Sección actualizada exitosamente!,تم تحديث القسم بنجاح!,Section mise à jour avec succès !
Section item added successfully!,Section item added successfully!,¡El artículo de la sección se agregó correctamente!,تمت إضافة عنصر القسم بنجاح!,Élément de section ajouté avec succès !
Section not found!,Section not found!,¡Sección no encontrada!,لم يتم العثور على القسم!,Section introuvable !
items,items,elementos,أغراض,articles
Section item not found!,Section item not found!,¡Artículo de sección no encontrado!,لم يتم العثور على عنصر القسم!,Élément de section introuvable !
Section item is invalid!,Section item is invalid!,¡El elemento de la sección no es válido!,عنصر القسم غير صالح!,L'élément de section n'est pas valide !
Section item deleted successfully!,Section item deleted successfully!,¡El elemento de la sección se eliminó correctamente!,تم حذف عنصر القسم بنجاح!,Élément de section supprimé avec succès !
Section Item updated successfully!,Section Item updated successfully!,¡Artículo de sección actualizado exitosamente!,تم تحديث عنصر القسم بنجاح!,Article de section mis à jour avec succès !
Mail send failed! Please try again,Mail send failed! Please try again,¡Falló el envío de correo! Por favor inténtalo de nuevo,فشل إرسال البريد! يرجى المحاولة مرة أخرى,L'envoi du courrier a échoué ! Veuillez réessayer
